metric_class,condition,vocab,edges,density,modularity_q_median,modularity_q_iqr_low,modularity_q_iqr_high,n_communities_median,n_communities_min,n_communities_max,ari_median,ari_iqr_low,ari_iqr_high,ami_median,ami_iqr_low,ami_iqr_high
DETERMINISTIC_EXACT_LOUVAIN_MEDIAN_IQR,raw,3646,60216,0.009062076033490674,0.41320046759794327,0.41291905184036626,0.4135668348154308,5,4,5,,,,,,
DETERMINISTIC_EXACT_LOUVAIN_MEDIAN_IQR,b3_jaro_winkler,2880,67451,0.016269875728455098,0.21747590630030067,0.2160904390463783,0.21845368903895326,5,4,7,0.20114558966449725,0.19397116648138157,0.21485550953590604,0.20108573566460797,0.19243310786111945,0.21279007539463232
DETERMINISTIC_EXACT_LOUVAIN_MEDIAN_IQR,full_llm_dag,3464,76571,0.012766267483572628,0.2361092501417265,0.23475838170490304,0.23715307775597724,5,4,7,0.20244096792667818,0.19451506548831476,0.21926534242283802,0.21968660934000422,0.21276744602878236,0.23272441942893277
