	Circular economy	Sustainability	Recycling	Environmental sustainability	Life cycle assessment	Waste management	Plastic waste	Wastewater	Resource recovery	industrial ecology	Industry 4.0	Anaerobic digestion	Material flow analysis	Waste	Biomass	Reuse	Bioeconomy	Municipal solid waste	Business model	Remanufacturing	Food waste	Construction	Renewable energy	Biorefinery	Agriculture	Wastewater treatment	Composting	Pyrolysis	Nutrient recovery	Circular business models	Climate change	Biochar	Adsorption	Resource efficiency	Sustainable development goals	Biogas	Industrial symbiosis	Waste valorization	Bibliometric analysis	CO<sub>2</sub> emissions	Waste-to-energy	Innovation	Construction and demolition waste	Food supply chain	by-products	Barriers	Supply chain	End-of-life	Valorization	Biofuels	E-waste	Microalgae	Mechanical properties	Greenhouse gas emissions	Sewage sludge	Bioenergy	Hydrogen	SMEs	Closed-loop supply chain	Critical raw materials	Lithium-ion batteries	WEEE	Reverse logistics	Digitalization	polyphenols	Decision-making	Machine learning	Circular supply chain	Heavy metals	Biodegradable	Systematic literature review	bioactive compounds	COVID-19	Textile waste	Bioplastics	Packaging	Literature review	Product-service system	European Union	Biowaste	China	Chemical recycling	Indicators	Techno-economic analysis	Recovery	Energy	Biopolymers	Carbon footprint	Lignocellulosic biomass	3D printing	antioxidants	Supply chain management	Case study	Additive manufacturing	Upcycling	Electric vehicles	Waste recycling	Policy	Eco-design	Optimization
Mechanical properties	53	27	29	3	5	6	6	3	0	2	0	2	1	4	1	0	1	0	0	0	1	0	0	0	3	0	15	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	5	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	1	0	0	4	1	0	0	0	0	0	1	0	0	0	0	2	1	2	4	1	0	0	4	2	0	3	0	0	1
Greenhouse gas emissions	95	29	12	10	33	10	9	1	3	5	1	7	3	3	4	3	7	6	1	0	2	3	9	2	6	0	3	1	2	0	16	3	1	4	3	4	0	0	0	3	3	0	1	0	0	0	3	1	1	0	0	3	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	1	2	2	0	3	1	5	2	0	0	0	1	1	1	2	0	0	0	0
Sewage sludge	90	16	4	5	8	8	3	12	9	0	0	18	1	2	3	0	1	0	0	0	4	1	4	5	5	15	9	8	14	0	1	10	2	0	0	4	0	2	0	1	7	1	1	1	1	0	0	0	2	2	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	3	0	0	4	1	0	0	1	0	0	0	1	0	0	4	0	0	1	1	1	3	2	0	0	0	0	0	0	0	2	0	2	2	0	0
Bioenergy	98	28	2	3	17	5	0	6	5	0	0	25	0	4	24	0	15	7	0	0	3	0	13	17	7	1	0	0	7	1	3	5	0	0	2	14	1	6	0	1	3	0	0	5	3	0	2	0	5	13	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	1	2	2	0	0	1	0	0	0	0	3	1	0	0	2	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0
Hydrogen	48	18	5	5	7	2	8	2	2	0	0	4	1	5	8	0	2	0	0	0	2	0	1	6	3	1	1	6	1	0	1	5	1	0	0	6	0	3	1	3	1	0	0	1	1	0	1	1	1	4	0	3	0	0	2	3	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	2	0	0	2	0	0	0	0	1	0	4	0	4	1	4	2	0	4	1	0	0	0	0	5	0	0	0	0	1
SMEs	145	51	4	7	1	1	1	0	4	4	8	1	1	0	0	1	1	1	8	3	1	3	0	0	0	0	1	0	0	9	0	0	0	3	2	0	4	0	3	0	1	6	0	3	1	7	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	6	0	1	0	3	0	0	2	0	2	2	0	0	2	0	8	0	1	0	1	0	0	0	0	1	0	1	0	2	2	0	0	0	0	1	1	1
Closed-loop supply chain	118	52	4	5	0	7	2	0	1	4	5	1	0	1	0	2	0	0	3	31	0	0	0	0	1	0	0	1	0	5	0	1	0	1	0	0	1	0	2	0	0	2	0	5	5	5	4	3	0	0	2	0	0	1	0	0	0	2	0	0	3	3	17	2	0	1	0	12	0	0	5	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	1	0	11	2	0	0	1	0	0	1	0
Critical raw materials	120	22	40	4	3	5	0	2	7	6	0	0	10	0	0	3	1	1	0	1	0	0	4	0	1	0	0	0	0	1	1	1	1	0	2	0	1	0	1	0	0	0	0	0	0	1	5	5	0	0	8	0	0	0	0	0	0	0	0	0	8	13	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	1	0	1	8	1	0	0	0	0	0	0	0	1	0	7	1	1	2	0
Lithium-ion batteries	107	25	47	8	5	7	0	3	3	3	1	0	7	0	1	5	0	0	3	6	1	0	1	0	0	0	0	0	0	3	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	2	7	0	0	1	0	0	0	0	0	0	1	3	8	0	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	0	1	5	1	0	1	0	0	0	0	0	0	0	31	0	2	2	1
WEEE	111	17	44	5	12	10	4	3	3	1	3	0	10	1	0	13	0	3	1	4	0	0	0	0	0	0	0	2	0	1	3	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	23	0	0	1	0	0	0	0	3	13	0	0	11	1	0	1	0	2	3	0	1	0	0	0	0	0	3	2	0	0	0	1	1	0	2	0	0	1	0	0	0	0	2	0	0	1	0	1	2	0
