	Circular economy	Sustainability	Recycling	Environmental sustainability	Life cycle assessment	Waste management	Plastic waste	Wastewater	Resource recovery	industrial ecology	Industry 4.0	Anaerobic digestion	Material flow analysis	Waste	Biomass	Reuse	Bioeconomy	Municipal solid waste	Business model	Remanufacturing	Food waste	Construction	Renewable energy	Biorefinery	Agriculture	Wastewater treatment	Composting	Pyrolysis	Nutrient recovery	Circular business models	Climate change	Biochar	Adsorption	Resource efficiency	Sustainable development goals	Biogas	Industrial symbiosis	Waste valorization	Bibliometric analysis	CO<sub>2</sub> emissions	Waste-to-energy	Innovation	Construction and demolition waste	Food supply chain	by-products	Barriers	Supply chain	End-of-life	Valorization	Biofuels	E-waste	Microalgae	Mechanical properties	Greenhouse gas emissions	Sewage sludge	Bioenergy	Hydrogen	SMEs	Closed-loop supply chain	Critical raw materials	Lithium-ion batteries	WEEE	Reverse logistics	Digitalization	polyphenols	Decision-making	Machine learning	Circular supply chain	Heavy metals	Biodegradable	Systematic literature review	bioactive compounds	COVID-19	Textile waste	Bioplastics	Packaging	Literature review	Product-service system	European Union	Biowaste	China	Chemical recycling	Indicators	Techno-economic analysis	Recovery	Energy	Biopolymers	Carbon footprint	Lignocellulosic biomass	3D printing	antioxidants	Supply chain management	Case study	Additive manufacturing	Upcycling	Electric vehicles	Waste recycling	Policy	Eco-design	Optimization
Lignocellulosic biomass	42	19	0	4	4	2	3	1	0	0	0	5	0	1	8	0	5	0	0	0	1	0	1	20	5	0	0	4	0	0	0	2	0	0	1	4	0	2	0	0	1	0	0	1	0	0	1	1	4	11	0	0	2	2	0	4	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	3	0	0	0	0	1	0	0	0	1	1	1	5	0	0	0	0	0	0	1	0	0	0	0	0	1
3D printing	77	34	39	5	5	1	9	1	0	1	9	0	2	4	2	0	0	0	2	2	0	1	0	0	2	0	3	0	0	1	1	0	0	1	0	0	1	3	0	1	0	1	1	1	0	0	2	0	1	0	0	1	4	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	2	1	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	38	2	0	3	0	0	0
antioxidants	50	18	3	1	1	1	1	0	1	0	1	1	0	3	1	0	1	0	0	0	3	0	0	6	1	0	1	2	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	3	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	3	0	10	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Supply chain management	89	48	3	8	1	5	0	0	0	0	11	1	0	0	1	0	0	0	4	6	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	9	0	0	2	2	2	1	2	1	1	0	1	1	0	0	0	0	0	0	2	11	0	0	0	9	0	0	2	0	9	0	0	8	0	5	1	0	1	5	2	0	0	1	0	0	0	0	0	0	1	0	2	0	0	2	1	0	2	0	1	0	1
Case study	106	33	8	6	4	4	0	2	0	2	3	1	2	0	0	3	0	3	11	8	2	3	0	0	1	1	1	0	0	6	0	1	0	2	2	0	7	1	0	0	0	2	2	5	1	4	2	0	0	1	2	0	0	1	0	0	0	2	2	0	0	2	2	4	0	0	0	4	0	0	1	0	0	1	0	3	2	3	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0
Additive manufacturing	79	36	34	7	10	1	4	1	0	2	7	0	2	1	1	0	1	0	1	9	0	1	2	0	0	0	6	0	0	1	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	38	0	1	1	0	3	0	2	0	0	1
Upcycling	76	34	17	5	8	3	11	1	1	3	0	1	2	2	0	4	2	0	2	3	5	1	1	1	1	2	2	2	1	3	0	0	0	0	1	0	2	0	0	0	0	1	2	1	4	3	0	0	1	0	1	0	2	1	2	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	2	0	0	0	1	0	4	0	1	1	1	1	0	0	2	0	0	0	3	0	0	0	0	1	1
Electric vehicles	78	27	25	4	9	2	1	2	0	1	0	0	6	0	0	6	1	0	3	5	0	0	2	0	0	0	0	1	0	4	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	1	4	0	1	1	0	0	2	0	0	0	0	1	7	31	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	3
Waste recycling	69	22	1	5	5	2	4	3	2	2	1	0	1	1	1	0	0	3	0	0	2	1	1	0	4	2	1	1	0	1	1	1	2	2	1	0	1	2	0	0	2	0	5	0	0	0	0	0	0	3	0	1	3	0	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	1	1	0	0	3	0	0	0	0	0	1	0	1	0	3	0	0	0	2	0	0	0	0	0	2
Policy	91	34	12	9	7	9	4	4	4	2	1	0	3	3	0	3	2	6	4	4	4	3	0	2	2	0	0	0	1	2	2	0	0	6	3	0	1	0	0	1	2	6	3	1	0	1	1	1	1	0	0	0	0	0	2	0	0	1	0	1	2	1	1	1	0	1	1	0	0	0	0	1	0	2	1	1	0	0	7	0	1	0	0	2	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	0
Eco-design	103	29	14	13	28	3	2	0	1	1	3	0	2	2	0	1	1	0	0	2	0	2	1	1	1	0	1	1	0	2	0	0	0	7	0	1	3	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	2	2	2	0	1	0	1	0	0	0	0	0	0	0	0	1	3	2	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0
Optimization	63	19	9	2	12	5	2	4	2	3	3	1	1	1	2	2	0	1	1	2	1	2	2	3	1	0	2	3	2	0	0	1	1	1	0	3	4	3	0	3	1	1	0	1	0	0	5	2	1	2	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	3	6	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	1	0	1	1	0	2	1	0	1	1	3	2	0	0	0
